,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
231,GOPURPOSE INC. PRIVATE LIMITED,28,,,,
232,"Anaplan, Inc.",28,,,,
233,ThunderQuote,28,,,,
234,DXC TECHNOLOGY SINGAPORE PTE. LTD.,28,,,,
235,BlackLine,27,,,,
236,First Technology (Singapore) Pte Ltd,27,,,,
237,M.Tech Products Pte Ltd,27,,,,
238,NVIDIA,27,,,,
239,ARCHISEN,27,,,,
240,AXINAN PTE. LTD.,27,,,,
241,ADDVALUE INNOVATION PTE LTD,27,,,,
242,Sitecore,26,,,,
243,BAO HE IMMIGRATION SPECIALIST PTE. LTD.,26,,,,
244,DATAROBOT SINGAPORE PTE. LTD.,26,,,,
245,Orange Business Services,26,,,,
246,Amdocs,26,,,,
247,KDDI SINGAPORE PTE LTD,26,,,,
248,Creatella,26,,,,
249,ACA Pacific Technology (S) Pte Ltd,26,,,,
250,Qualtrics,26,,,,
251,Browzwear Solution Pte Ltd,26,,,,
252,CrimsonLogic,26,,,,
253,Medisys Innovation Pte Ltd,26,,,,
254,Fida International (S) Pte Ltd,26,,,,
255,MONARCH INFO TECH SERVICES PTE.,26,,,,
256,Dimension Data(Singapore) Pte Ltd.,26,,,,
257,TECHSTUDIO SOLUTIONS PTE. LTD.,26,,,,
258,UP COMMUNICATIONS PTE LTD,25,,,,
259,BMC Software,25,,,,
260,Option Gift Pte Ltd,25,,,,
261,Medidata Solutions,25,,,,
262,Stranger Soccer,25,,,,
263,JK TECHNOLOGY PTE LTD,25,,,,
264,Communications Test Design (S) Pte Ltd,25,,,,
265,SDS Pte Ltd,25,,,,
266,Circles.Life,24,,,,
267,LEADIQ SINGAPORE PTE. LTD.,24,,,,
268,KEMP Technologies,24,,,,
269,SMARTSOFT PTE. LTD.,24,,,,
270,Pantropic Online Pte Ltd,23,,,,
271,Consensys,23,,,,
272,DL Ideas Pte. Ltd.,23,,,,
273,RFNet Technologies Pte Ltd,23,,,,
274,Brightcove,23,,,,
275,HYPER COMMUNICATIONS PTE. LTD.,23,,,,
276,ANAFORE PTE. LTD.,23,,,,
277,HUBBLE PTE. LTD.,23,,,,
278,GT DOLLAR PTE. LTD.,23,,,,
279,VCARGO CLOUD PTE. LTD.,23,,,,
280,Palo Alto Networks (S) Pte Ltd,23,,,,
281,Instream Corporation Pte Ltd,23,,,,
282,ANAPLAN ASIA PTE. LTD.,23,,,,
283,Third Sight Pte Ltd,23,,,,
284,WEESWARES PTE. LTD.,23,,,,
285,Trek 2000 International Ltd.,23,,,,
286,Advance.AI,23,,,,
287,BEGA,22,,,,
288,SAP,22,,,Yes,
289,Recall Total Information Management Pte Ltd,22,,,,
290,ATT Systems (S?pore) Pte Ltd.,22,,,,
291,Kofax,22,,,,
292,Qi Xiang Technology Pte. Ltd.,22,,,,
293,Curvature,21,,,,
294,Unity Technologies Singapore Pte Ltd,21,,,,
295,Erideon Private Limited,21,,,,
296,ACRONIS ASIA RESEARCH AND DEVELOPMENT PTE. LTD.,21,,,,
297,Reach Technologies Pte Ltd,21,,,,
298,DIMENSION DATA ASIA PACIFIC PTE. LTD.,21,,,,
299,D'Crypt Pte Ltd,21,,,,
300,EXPEREO SINGAPORE PTE. LTD.,21,,,,
301,HPE,21,,,Yes,
302,Gitlab,20,,,,
303,Samsung SDS Asia Pacific Pte Ltd,20,,,Yes,
304,Office Productivity Solution Pte Ltd,20,,,,
305,KVH Industries,20,,,,
306,Eztech Services Pte Ltd,20,,,,
307,Amazon Web Services,20,,,Yes,
308,Maltem Singapore,20,,,,
309,TP-LINK TECHNOLOGIES (SG) PTE. LTD,20,,,,
310,Oddle,20,,,,
311,VIRTUSA SINGAPORE PRIVATE LIMITED,20,,,,
312,APPVANTAGE PTE. LTD.,20,,,,
313,Polycom,20,,,,
314,"Veson Nautical, LLC",20,,,,
315,VIEWQWEST PRIVATE LIMITED,20,,,,
316,TAK System Integration Pte Ltd,20,,,,
317,ASPENTECH PTE. LTD.,19,,,,
318,Bizgo,19,,,,
319,Miao,19,,,,
320,MarkLogic,19,,,,
321,Panduit Singapore Pte Ltd,19,,,,
322,St Electronics Info Software System Pte Ltd,19,,,,
323,SailPoint Technologies,19,,,,
324,Nufern,19,,,,
325,FIREEYE SINGAPORE PRIVATE LIMITED,19,,,,
326,AWPL (ASIA PACIFIC) PTE LTD,19,,,,
327,Nityo Infotech Services Pte. Ltd.,19,,,,
328,FINANTIX ASIA-PACIFIC PTE. LTD.,19,,,,
329,Flick Solutions Pte Ltd,19,,,,
330,Adventus Singapore Pte Ltd,19,,,,
331,Vanity Trove Pte Ltd,18,,,,
332,Nexmo,18,,,,
333,Virtustream,18,,,,
334,RTB House,18,,,,
335,INNOVIX Singapore,18,,,,
336,ADERA GLOBAL PTE LTD,18,,,,
337,Veracode,18,,,,
338,CITRIX SYSTEMS SINGAPORE PTE. LTD.,18,,,,
339,2359 MEDIA PTE. LTD.,18,,,,
340,DELTEQ PTE LTD,18,,,,
341,Brandwatch,18,,,,
342,Dynasafe Technologies Pte. Ltd.,18,,,,
343,WINSYS TECHNOLOGY PTE LTD,18,,,,
344,AMDOCS SINGAPORE PTE. LTD.,18,,,,
345,LEADBOOK PTE. LTD.,18,,,,
346,BLACK BOX NETWORK SERVICES SINGAPORE PTE LTD,18,,,,
347,SOFTWAREONE PTE. LTD.,18,,,,
348,Druva,18,,,,
349,Commvault,17,,,,
350,Innovix Distribution,17,,,,
351,NUTANIX SINGAPORE PTE. LTD.,17,,,,
352,YOJEE PTE. LTD.,17,,,,
353,CAST LABORATORIES PTE LTD,17,,,,
354,AppLabx Pte. Ltd,17,,,,
355,TabSquare,17,,,,
356,GLODON INTERNATIONAL PTE. LTD.,17,,,,
357,Techbridge Market Holdings Pte Ltd,17,,,,
358,MUREX SOUTHEAST ASIA PTE LTD,17,,,,
359,ASIAN INFO TECHNOLOGIES PTE. LTD.,17,,,,
360,HITACHI SOLUTIONS ASIA PACIFIC PTE. LTD.,17,,,Yes,
361,ACECOM TECHNOLOGIES PTE LTD,17,,,,
362,Novitee Pte Ltd,17,,,,
363,Fusion Worldwide,17,,,,
364,Quadient,17,,,,
365,Novel Communication Pte Ltd,17,,,,
366,Solarwinds Software Asia Pte Ltd,17,,,,
367,KACIFIC BROADBAND SATELLITES LTD.,17,,,,
368,PanelPlace,17,,,,
369,DocuSign,17,,,,
370,APTIV8 IT SOLUTIONS PTE. LTD.,17,,,,
371,RAH TECH PTE LTD,17,,,,
